2025-11-21 22:29:27,151 INFO    MainThread:24652 [wandb_setup.py:_flush():80] Current SDK version is 0.23.0
2025-11-21 22:29:27,152 INFO    MainThread:24652 [wandb_setup.py:_flush():80] Configure stats pid to 24652
2025-11-21 22:29:27,152 INFO    MainThread:24652 [wandb_setup.py:_flush():80] Loading settings from C:\Users\82109\.config\wandb\settings
2025-11-21 22:29:27,152 INFO    MainThread:24652 [wandb_setup.py:_flush():80] Loading settings from C:\Users\82109\Desktop\º­¸®\7ÇÐ±â\aiÀ¶ÇÕ°ú ÀÀ¿ë\Tiny-RecUnet\Tiny-RecUNet\wandb\settings
2025-11-21 22:29:27,152 INFO    MainThread:24652 [wandb_setup.py:_flush():80] Loading settings from environment variables
2025-11-21 22:29:27,152 INFO    MainThread:24652 [wandb_init.py:setup_run_log_directory():713] Logging user logs to C:\Users\82109\Desktop\º­¸®\7ÇÐ±â\aiÀ¶ÇÕ°ú ÀÀ¿ë\Tiny-RecUnet\Tiny-RecUNet\wandb\run-20251121_222927-abyef4kn\logs\debug.log
2025-11-21 22:29:27,152 INFO    MainThread:24652 [wandb_init.py:setup_run_log_directory():714] Logging internal logs to C:\Users\82109\Desktop\º­¸®\7ÇÐ±â\aiÀ¶ÇÕ°ú ÀÀ¿ë\Tiny-RecUnet\Tiny-RecUNet\wandb\run-20251121_222927-abyef4kn\logs\debug-internal.log
2025-11-21 22:29:27,152 INFO    MainThread:24652 [wandb_init.py:init():840] calling init triggers
2025-11-21 22:29:27,152 INFO    MainThread:24652 [wandb_init.py:init():845] wandb.init called with sweep_config: {}
config: {'_wandb': {}}
2025-11-21 22:29:27,152 INFO    MainThread:24652 [wandb_init.py:init():888] starting backend
2025-11-21 22:29:29,440 INFO    MainThread:24652 [wandb_init.py:init():891] sending inform_init request
2025-11-21 22:29:29,455 INFO    MainThread:24652 [wandb_init.py:init():899] backend started and connected
2025-11-21 22:29:29,477 INFO    MainThread:24652 [wandb_init.py:init():969] updated telemetry
2025-11-21 22:29:29,511 INFO    MainThread:24652 [wandb_init.py:init():993] communicating run to backend with 90.0 second timeout
2025-11-21 22:29:30,402 INFO    MainThread:24652 [wandb_init.py:init():1040] starting run threads in backend
2025-11-21 22:29:30,470 INFO    MainThread:24652 [wandb_run.py:_console_start():2504] atexit reg
2025-11-21 22:29:30,470 INFO    MainThread:24652 [wandb_run.py:_redirect():2352] redirect: wrap_raw
2025-11-21 22:29:30,471 INFO    MainThread:24652 [wandb_run.py:_redirect():2421] Wrapping output streams.
2025-11-21 22:29:30,471 INFO    MainThread:24652 [wandb_run.py:_redirect():2444] Redirects installed.
2025-11-21 22:29:30,473 INFO    MainThread:24652 [wandb_init.py:init():1080] run started, returning control to user process
2025-11-21 22:40:01,151 INFO    wandb-AsyncioManager-main:24652 [service_client.py:_forward_responses():80] Reached EOF.
2025-11-21 22:40:01,151 INFO    wandb-AsyncioManager-main:24652 [mailbox.py:close():137] Closing mailbox, abandoning 2 handles.
